response_code,category,action_code,expected_local_file
BC_OPENING,fixed_opening,,audio/opening/BC_OPENING.wav
BC_BRD01_PREFERRED,broad,ACT_PRESENT_FIRST,audio/broad/BC_BRD01_PREFERRED.wav
BC_BRD01_ALTERNATIVE,broad,ACT_PRESENT_FIRST,audio/broad/BC_BRD01_ALTERNATIVE.wav
BC_BRD02_PREFERRED,broad,ACT_PRESENT_FIRST,audio/broad/BC_BRD02_PREFERRED.wav
BC_BRD02_ALTERNATIVE,broad,ACT_PRESENT_FIRST,audio/broad/BC_BRD02_ALTERNATIVE.wav
BC_BRD03_PREFERRED,broad,ACT_PRESENT_FIRST,audio/broad/BC_BRD03_PREFERRED.wav
BC_BRD03_ALTERNATIVE,broad,ACT_PRESENT_FIRST,audio/broad/BC_BRD03_ALTERNATIVE.wav
BC_BRD04_PREFERRED,broad,ACT_PRESENT_FIRST,audio/broad/BC_BRD04_PREFERRED.wav
BC_BRD04_ALTERNATIVE,broad,ACT_PRESENT_FIRST,audio/broad/BC_BRD04_ALTERNATIVE.wav
BC_BRD05_PREFERRED,broad,ACT_PRESENT_SECOND,audio/broad/BC_BRD05_PREFERRED.wav
BC_BRD05_ALTERNATIVE,broad,ACT_PRESENT_SECOND,audio/broad/BC_BRD05_ALTERNATIVE.wav
BC_BRD06_PREFERRED,broad,ACT_PRESENT_SECOND,audio/broad/BC_BRD06_PREFERRED.wav
BC_BRD06_ALTERNATIVE,broad,ACT_PRESENT_SECOND,audio/broad/BC_BRD06_ALTERNATIVE.wav
BC_BRD07_PREFERRED,broad,ACT_PRESENT_SECOND,audio/broad/BC_BRD07_PREFERRED.wav
BC_BRD07_ALTERNATIVE,broad,ACT_PRESENT_SECOND,audio/broad/BC_BRD07_ALTERNATIVE.wav
BC_BRD08_PREFERRED,broad,ACT_PRESENT_SECOND,audio/broad/BC_BRD08_PREFERRED.wav
BC_BRD08_ALTERNATIVE,broad,ACT_PRESENT_SECOND,audio/broad/BC_BRD08_ALTERNATIVE.wav
BC_BRD09_PREFERRED,broad,ACT_PREFERENCE,audio/broad/BC_BRD09_PREFERRED.wav
BC_BRD09_ALTERNATIVE,broad,ACT_PREFERENCE,audio/broad/BC_BRD09_ALTERNATIVE.wav
BC_SPC01_SHIRT_TYPE,specific,ACT_PRESENT_FIRST,audio/specific/BC_SPC01_SHIRT_TYPE.wav
BC_SPC02_SHIRT_COLOR,specific,ACT_PRESENT_FIRST,audio/specific/BC_SPC02_SHIRT_COLOR.wav
BC_SPC03_SHIRT_MATERIAL,specific,ACT_PRESENT_FIRST,audio/specific/BC_SPC03_SHIRT_MATERIAL.wav
BC_SPC04_SHIRT_MATERIAL_FEEL,specific,ACT_PRESENT_FIRST,audio/specific/BC_SPC04_SHIRT_MATERIAL_FEEL.wav
BC_SPC05_SHIRT_PATTERN,specific,ACT_PRESENT_FIRST,audio/specific/BC_SPC05_SHIRT_PATTERN.wav
BC_SPC06_SHIRT_BUTTONS,specific,ACT_PRESENT_FIRST,audio/specific/BC_SPC06_SHIRT_BUTTONS.wav
BC_SPC07_SHIRT_COLLAR,specific,ACT_PRESENT_FIRST,audio/specific/BC_SPC07_SHIRT_COLLAR.wav
BC_SPC08_SHIRT_FIT,specific,ACT_PRESENT_FIRST,audio/specific/BC_SPC08_SHIRT_FIT.wav
BC_SPC09_SHIRT_WORK_USE,specific,ACT_PRESENT_FIRST,audio/specific/BC_SPC09_SHIRT_WORK_USE.wav
BC_SPC10_SHIRT_CASUAL_USE,specific,ACT_PRESENT_FIRST,audio/specific/BC_SPC10_SHIRT_CASUAL_USE.wav
BC_SPC11_SHIRT_COLOR_MATCHING,specific,ACT_PRESENT_FIRST,audio/specific/BC_SPC11_SHIRT_COLOR_MATCHING.wav
BC_SPC12_SHIRT_SEASON_USE,specific,ACT_PRESENT_FIRST,audio/specific/BC_SPC12_SHIRT_SEASON_USE.wav
BC_SPC13_SHIRT_LAYERING,specific,ACT_PRESENT_FIRST,audio/specific/BC_SPC13_SHIRT_LAYERING.wav
BC_SPC14_SHIRT_PRACTICALITY,specific,ACT_PRESENT_FIRST,audio/specific/BC_SPC14_SHIRT_PRACTICALITY.wav
BC_SPC15_SHIRT_FORMAL_CASUAL,specific,ACT_PRESENT_FIRST,audio/specific/BC_SPC15_SHIRT_FORMAL_CASUAL.wav
BC_SPC16_SHIRT_POLISHED,specific,ACT_PRESENT_FIRST,audio/specific/BC_SPC16_SHIRT_POLISHED.wav
BC_SPC18_SHIRT_EXISTING,specific,ACT_PRESENT_FIRST,audio/specific/BC_SPC18_SHIRT_EXISTING.wav
BC_SPC19_SHIRT_WARDROBE_GOAL,specific,ACT_PRESENT_FIRST,audio/specific/BC_SPC19_SHIRT_WARDROBE_GOAL.wav
BC_SPC17_SHIRT_TIMELESS,specific,ACT_PRESENT_FIRST,audio/specific/BC_SPC17_SHIRT_TIMELESS.wav
BC_SPC20_SHIRT_REPLACEABILITY,specific,ACT_PRESENT_FIRST,audio/specific/BC_SPC20_SHIRT_REPLACEABILITY.wav
BC_SPC21_SHIRT_INVESTMENT,specific,ACT_PRESENT_FIRST,audio/specific/BC_SPC21_SHIRT_INVESTMENT.wav
